Player,Shot,Stroke,Spin,Speed (MPH),Point,Game,Set,Shot Placement (x),Shot Placement (y),Racket Contact (x),Racket Contact (y),Racket Contact (z),Direction,Result
Juan Potro,1,Serve,Kick,27.475464,1,0,0,0.280807,6.591698,0.455505,23.861275,2.614005,down the T,Out
Roger Federer,2,Forehand,Topspin,52.809109,1,0,0,1.656616,18.744608,0.87783,2.710557,1.382384,down the line,In
Juan Potro,3,Backhand,Topspin,43.280182,1,0,0,-0.915476,2.65476,2.992021,22.844015,1.403521,cross court,In
Roger Federer,4,Serve,Flat,81.561409,2,0,0,2.449708,16.214043,-0.619428,-0.174302,2.474288,out wide,In
Juan Potro,5,Backhand,Slice,28.52264,2,0,0,0.147459,13.25697,3.722276,24.212797,0.91655,cross court,Net
Roger Federer,6,Serve,Slice,79.703606,3,0,0,-2.273048,6.351611,0.304096,0.529916,2.35627,out wide,Net
Roger Federer,7,Serve,Flat,67.037132,4,0,0,2.054011,6.375612,-0.325713,0.438215,2.400024,out wide,Net
Roger Federer,8,Serve,Flat,74.214836,5,0,0,3.329438,16.274467,-0.342778,0.454829,2.457031,out wide,In
Juan Potro,9,Backhand,Topspin,34.82856,5,0,0,-0.733661,13.572134,4.825943,25.110918,0.986921,down the line,Net
Roger Federer,10,Serve,Flat,81.077286,6,0,0,-0.710081,17.518543,0.074468,0.099784,2.206571,down the T,In
Juan Potro,11,Backhand,Slice,63.794819,6,0,0,-0.506766,4.355731,-1.455019,24.094896,0.8938,inside in,In
Roger Federer,12,Forehand,Topspin,28.109072,6,0,0,-2.14207,5.648626,-0.624504,2.75358,0.520216,inside out,Net
Roger Federer,13,Serve,Slice,83.525909,7,0,0,2.311956,15.868601,-0.538135,0.275617,2.3758,out wide,In
Juan Potro,14,Backhand,Flat,39.68174,7,0,0,-1.73404,1.194197,3.646887,23.959021,0.851295,cross court,In
Roger Federer,15,Forehand,Topspin,51.378765,7,0,0,1.250072,17.265667,-2.317276,-1.533719,0.637786,inside out,In
Juan Potro,16,Backhand,Flat,53.017933,7,0,0,3.161165,4.944668,2.441895,24.35861,0.979887,down the line,In
Roger Federer,17,Serve,Flat,74.529182,8,0,0,-3.453252,17.209644,0.469743,0.235937,2.348572,out wide,In
Juan Potro,18,Forehand,Topspin,43.464867,8,0,0,4.841546,-1.268199,-4.386969,23.576994,0.854428,cross court,Out
Roger Federer,19,Serve,Flat,88.348022,9,0,0,-1.132638,16.786098,0.204693,0.025827,2.00761,down the T,In
Juan Potro,20,Backhand,Topspin,46.929001,9,0,0,1.133686,5.522742,-1.768028,23.745205,0.968583,inside out,In
Roger Federer,21,Forehand,Topspin,62.47691,9,0,0,2.781338,19.925825,1.913556,3.569475,1.425751,down the line,In
Juan Potro,22,Backhand,Topspin,75.35408,9,0,0,0.099558,8.288066,3.232162,25.820879,0.916668,down the line,In
Roger Federer,23,BH Volley,Flat,24.248772,9,0,0,2.034313,18.979763,0.099558,7.762819,0.893416,down the line,In
Juan Potro,24,Backhand,Topspin,74.824783,9,0,0,2.482729,5.856718,2.178485,23.270292,0.583009,down the line,In
Roger Federer,25,FH Volley,Flat,24.979544,9,0,0,2.659008,18.968796,2.482729,11.795033,0.682863,down the line,In
Roger Federer,26,Serve,Flat,79.618927,10,0,0,4.153704,17.438717,-0.655261,-0.56347,2.474273,out wide,Out
Juan Potro,27,Backhand,Topspin,62.747383,11,0,0,-0.642636,8.506111,5.180975,23.927687,1.258727,down the line,In
Roger Federer,28,Serve,Flat,67.39856,12,0,0,1.83078,15.944054,-0.915219,1.157217,2.363508,down the T,In
Juan Potro,29,Forehand,Flat,72.023399,12,0,0,1.181044,1.032696,3.545734,21.880636,1.259504,inside in,In
Roger Federer,30,Forehand,Flat,37.516582,12,0,0,1.589664,20.122831,0.983698,-0.171883,0.387013,down the line,In
Juan Potro,31,Forehand,Topspin,80.969986,12,0,0,1.797691,2.299524,1.782135,23.892626,1.305903,inside in,In
Roger Federer,32,Forehand,Flat,42.472458,12,0,0,-0.84052,19.592907,2.141459,-2.374911,0.73118,cross court,In
Juan Potro,33,Forehand,Topspin,45.466377,12,0,0,1.698215,17.087894,-0.959033,24.756416,1.017372,down the line,Net
Roger Federer,34,Serve,Flat,83.842194,13,0,0,-1.275404,18.077669,0.734859,1.032929,2.275506,down the T,In
Juan Potro,35,Backhand,Slice,37.545135,13,0,0,-1.51376,-0.548552,-1.689502,24.247942,1.401815,inside in,Out
Roger Federer,36,Serve,Flat,67.446037,14,0,0,1.61563,15.435036,-0.795177,0.902495,2.275847,down the T,In
Juan Potro,37,Forehand,Topspin,54.217308,14,0,0,2.296988,3.943695,3.174786,21.495207,1.345369,inside in,In
Roger Federer,38,Forehand,Topspin,48.256439,14,0,0,-2.129267,18.903528,2.647641,0.905311,0.900809,cross court,In
Juan Potro,39,Forehand,Topspin,54.83345,14,0,0,-2.642392,2.38611,-2.65646,24.813803,0.861961,down the line,In
Roger Federer,40,Backhand,Flat,56.380497,14,0,0,1.416304,19.22315,-2.560655,-1.529473,0.893245,cross court,In
Juan Potro,41,Backhand,Topspin,55.986511,14,0,0,1.835766,1.918944,2.953384,24.813391,0.908964,down the line,In
Roger Federer,42,Forehand,Topspin,56.86644,14,0,0,-1.368007,22.015209,1.904032,-0.682703,1.090484,cross court,In
Juan Potro,43,Forehand,Topspin,63.353012,14,0,0,4.14701,0.830956,-1.783378,24.289457,0.747196,down the line,Out
Juan Potro,44,Serve,Kick,74.820808,15,0,0,0.517327,7.039295,-0.488472,23.577459,2.567266,down the T,In
Roger Federer,45,Backhand,Topspin,47.695316,15,0,0,0.647133,11.226854,1.669165,-1.124199,0.819712,inside out,Net
Juan Potro,46,Serve,Flat,64.829491,16,0,0,-2.994729,6.571263,0.573821,22.462557,2.44433,out wide,In
Roger Federer,47,Backhand,Flat,48.997902,16,0,0,0.19537,20.161917,-5.313034,-0.061961,1.092374,down the line,In
Juan Potro,48,Forehand,Flat,62.036026,16,0,0,-2.057079,3.622244,3.233051,24.913843,1.161958,inside out,In
Roger Federer,49,Backhand,Topspin,45.571362,16,0,0,0.527078,19.024603,-2.734714,-1.193283,0.574686,cross court,In
Juan Potro,50,Forehand,Topspin,61.228054,16,0,0,-0.845417,2.01989,1.020084,24.446936,0.93467,inside out,In
Roger Federer,51,Forehand,Topspin,53.460373,16,0,0,-2.260369,18.535294,-1.08756,-0.640179,0.727073,inside in,In
